detector,rho_px,theta_deg,occ_pct_target,occ_pct_actual,recall_hat,recall_nohat,conf_mean,conf_std,n_gt,n_tp,n_fp,n_gt_hat,n_gt_person,occ_pct_box
yolo26n,16,0,0,0.0,0.9307,0.9192,0.8016,0.1427,1907,1759,577,534,1373,0.0
yolo26n,16,0,15,15.33,0.5637,0.4202,0.6665,0.1904,1907,878,556,534,1373,15.11
yolo26n,16,0,30,30.48,0.4775,0.1697,0.6162,0.1985,1907,488,390,534,1373,30.32
yolo26n,16,0,45,45.21,0.294,0.0233,0.5617,0.1947,1907,189,166,534,1373,45.05
yolo26n,16,0,60,60.32,0.03,0.0007,0.42,0.1726,1907,17,15,534,1373,60.1
yolo26n,16,0,75,75.38,0.0,0.0,,,1907,0,0,534,1373,75.01
yolo26n,16,15,0,0.0,0.9307,0.909,0.8032,0.1372,1907,1745,543,534,1373,0.0
yolo26n,16,15,15,15.33,0.5674,0.4268,0.6731,0.184,1907,889,582,534,1373,15.03
yolo26n,16,15,30,30.48,0.4813,0.1602,0.6176,0.1988,1907,477,406,534,1373,30.09
yolo26n,16,15,45,45.21,0.2884,0.0299,0.5766,0.1924,1907,195,181,534,1373,44.71
yolo26n,16,15,60,60.32,0.0375,0.0,0.438,0.1553,1907,20,14,534,1373,59.69
yolo26n,16,15,75,75.38,0.0,0.0,,,1907,0,0,534,1373,74.72
yolo26n,16,30,0,0.0,0.9288,0.9111,0.7958,0.1424,1907,1747,633,534,1373,0.0
yolo26n,16,30,15,15.33,0.588,0.4669,0.675,0.1819,1907,955,584,534,1373,14.98
yolo26n,16,30,30,30.48,0.4906,0.1923,0.6185,0.1931,1907,526,403,534,1373,30.2
yolo26n,16,30,45,45.21,0.294,0.0364,0.5775,0.1922,1907,207,215,534,1373,45.07
yolo26n,16,30,60,60.32,0.0543,0.0,0.49,0.1554,1907,29,14,534,1373,60.33
yolo26n,16,30,75,75.38,0.0,0.0,,,1907,0,0,534,1373,75.36
yolo26n,16,45,0,0.0,0.9232,0.8616,0.7721,0.1525,1907,1676,787,534,1373,0.0
yolo26n,16,45,15,15.33,0.5524,0.4304,0.6602,0.1894,1907,886,662,534,1373,14.78
yolo26n,16,45,30,30.48,0.4663,0.177,0.611,0.1947,1907,492,374,534,1373,29.85
yolo26n,16,45,45,45.21,0.2753,0.0291,0.5828,0.1869,1907,187,213,534,1373,44.65
yolo26n,16,45,60,60.32,0.0412,0.0,0.4697,0.1496,1907,22,27,534,1373,59.83
yolo26n,16,45,75,75.38,0.0,0.0,,,1907,0,0,534,1373,75.0
yolo26n,16,60,0,0.0,0.6948,0.5033,0.6768,0.1886,1907,1062,712,534,1373,0.0
yolo26n,16,60,15,15.33,0.3015,0.1194,0.6275,0.1805,1907,325,425,534,1373,15.07
yolo26n,16,60,30,30.48,0.2041,0.0364,0.5896,0.1931,1907,159,244,534,1373,30.19
yolo26n,16,60,45,45.21,0.0993,0.0044,0.5501,0.1636,1907,59,167,534,1373,44.87
yolo26n,16,60,60,60.32,0.015,0.0,0.4481,0.1717,1907,8,31,534,1373,60.0
yolo26n,16,60,75,75.38,0.0,0.0,,,1907,0,0,534,1373,74.92
yolo26n,16,75,0,0.0,0.0131,0.0073,0.5428,0.2382,1907,17,8,534,1373,0.0
yolo26n,16,75,15,15.33,0.0037,0.0007,0.5572,0.1303,1907,3,30,534,1373,15.09
yolo26n,16,75,30,30.48,0.0,0.0,,,1907,0,23,534,1373,30.15
yolo26n,16,75,45,45.21,0.0,0.0,,,1907,0,20,534,1373,44.77
yolo26n,16,75,60,60.32,0.0,0.0,,,1907,0,3,534,1373,59.7
yolo26n,16,75,75,75.38,0.0,0.0,,,1907,0,0,534,1373,74.67
yolo26n,12,0,0,0.0,0.897,0.8835,0.7846,0.1488,1907,1692,552,534,1373,0.0
yolo26n,12,0,15,15.33,0.4719,0.2804,0.6348,0.1936,1907,637,421,534,1373,15.11
