rho_px,theta_deg,occ_pct_target,occ_pct_actual,recall_hat,recall_nohat,conf_mean,conf_std,n_gt,n_tp,n_fp,n_gt_hat,n_gt_person,occ_pct_box
16,0,60,60.32,0.0206,0.0022,0.4847,0.1499,1907,14,20,534,1373,60.1
16,0,75,75.38,0.0,0.0,,,1907,0,1,534,1373,75.01
16,15,0,0.0,0.9101,0.9243,0.7807,0.1133,1907,1755,638,534,1373,0.0
16,15,15,15.33,0.4363,0.4202,0.6561,0.1656,1907,810,547,534,1373,15.03
16,15,30,30.48,0.2191,0.1296,0.5835,0.1784,1907,295,216,534,1373,30.09
16,15,45,45.21,0.0861,0.0313,0.5389,0.1704,1907,89,88,534,1373,44.71
16,15,60,60.32,0.0206,0.0022,0.4284,0.1142,1907,14,22,534,1373,59.69
16,15,75,75.38,0.0,0.0,,,1907,0,1,534,1373,74.72
16,30,0,0.0,0.9139,0.9228,0.773,0.1195,1907,1755,714,534,1373,0.0
16,30,15,15.33,0.485,0.4465,0.6622,0.165,1907,872,661,534,1373,14.98
16,30,30,30.48,0.2397,0.1508,0.5969,0.1642,1907,335,283,534,1373,30.2
16,30,45,45.21,0.0918,0.0393,0.5414,0.163,1907,103,103,534,1373,45.07
16,30,60,60.32,0.0056,0.0036,0.4687,0.1435,1907,8,22,534,1373,60.33
16,30,75,75.38,0.0,0.0,,,1907,0,6,534,1373,75.36
16,45,0,0.0,0.9007,0.882,0.7403,0.1367,1907,1692,967,534,1373,0.0
16,45,15,15.33,0.4925,0.4064,0.6571,0.1576,1907,821,1048,534,1373,14.78
16,45,30,30.48,0.2097,0.1224,0.5871,0.1633,1907,280,399,534,1373,29.85
16,45,45,45.21,0.0581,0.0328,0.5059,0.1484,1907,76,127,534,1373,44.65
16,45,60,60.32,0.0037,0.0007,0.4594,0.1048,1907,3,21,534,1373,59.83
16,45,75,75.38,0.0,0.0,,,1907,0,3,534,1373,75.0
16,60,0,0.0,0.6423,0.5011,0.6544,0.1644,1907,1031,1136,534,1373,0.0
16,60,15,15.33,0.2959,0.1551,0.5909,0.1656,1907,371,835,534,1373,15.07
16,60,30,30.48,0.0524,0.0248,0.5508,0.162,1907,62,185,534,1373,30.19
16,60,45,45.21,0.0094,0.0058,0.4689,0.1313,1907,13,32,534,1373,44.87
16,60,60,60.32,0.0019,0.0,0.2908,,1907,1,7,534,1373,60.0
16,60,75,75.38,0.0019,0.0,0.373,,1907,1,2,534,1373,74.92
16,75,0,0.0,0.0094,0.0109,0.5105,0.2107,1907,20,5,534,1373,0.0
16,75,15,15.33,0.0112,0.0007,0.3882,0.1312,1907,7,12,534,1373,15.09
16,75,30,30.48,0.0,0.0,,,1907,0,2,534,1373,30.15
16,75,45,45.21,0.0,0.0,,,1907,0,0,534,1373,44.77
16,75,60,60.32,0.0,0.0,,,1907,0,0,534,1373,59.7
16,75,75,75.38,0.0,0.0,,,1907,0,0,534,1373,74.67
12,0,0,0.0,0.8801,0.8857,0.7603,0.1243,1907,1686,624,534,1373,0.0
12,0,15,15.33,0.3221,0.268,0.651,0.1587,1907,540,360,534,1373,15.11
12,0,30,30.48,0.1592,0.0816,0.5623,0.17,1907,197,100,534,1373,30.32
12,0,45,45.21,0.0506,0.0182,0.5432,0.1609,1907,52,50,534,1373,45.05
12,0,60,60.32,0.0094,0.0007,0.4636,0.1621,1907,6,6,534,1373,60.1
12,0,75,75.38,0.0,0.0,,,1907,0,1,534,1373,75.01
12,15,0,0.0,0.8839,0.8864,0.7568,0.1305,1907,1689,631,534,1373,0.0
12,15,15,15.33,0.3483,0.2804,0.6424,0.1613,1907,571,374,534,1373,15.03
12,15,30,30.48,0.1536,0.075,0.571,0.1776,1907,185,121,534,1373,30.09
12,15,45,45.21,0.0506,0.0175,0.5528,0.1447,1907,51,48,534,1373,44.71
12,15,60,60.32,0.0112,0.0007,0.4186,0.0983,1907,7,11,534,1373,59.69
12,15,75,75.38,0.0,0.0,,,1907,0,1,534,1373,74.72
12,30,0,0.0,0.8652,0.8922,0.7532,0.1283,1907,1687,677,534,1373,0.0
12,30,15,15.33,0.3727,0.3103,0.6472,0.1602,1907,625,488,534,1373,14.98
12,30,30,30.48,0.1498,0.1012,0.5755,0.1661,1907,219,168,534,1373,30.2
12,30,45,45.21,0.0543,0.0218,0.5508,0.1569,1907,59,64,534,1373,45.07
12,30,60,60.32,0.0037,0.0029,0.3658,0.0835,1907,6,10,534,1373,60.33
12,30,75,75.38,0.0,0.0,,,1907,0,5,534,1373,75.36
